"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,Date
Poland,"6,001,893",+566,"116,164 ",+15,"5,335,004",+32,"550,725",981,"158,907","3,076","36,188,226","958,127","37,769,758 ",Europe,15,0.4,"14,581",2022-05-11
Mexico,"5,745,652",,"324,465 ",,"5,044,893",,"376,294","4,798","43,712","2,468","15,855,490","120,625","131,444,511 ",North America,,,"2,863",2022-05-11
Ukraine,"5,006,460",,"108,449 ",,,,,177,"115,765","2,508","19,521,252","451,393","43,246,695 ",Europe,,,"19,423",2022-05-11
Malaysia,"4,467,061","+3,321","35,598 ",+8,"4,406,613","+1,416","24,850",59,"134,814","1,074","59,086,179","1,783,202","33,134,885 ",Asia,100,0.2,750,2022-05-11
Thailand,"4,345,218","+7,650","29,255 ",+56,"4,237,692","+9,322","78,271","1,496","61,964",417,"17,270,775","246,286","70,124,735 ",Asia,109,0.8,"1,116",2022-05-11
Austria,"4,195,691","+5,991","18,279 ",+8,"4,112,993"," +6,342","64,419",78,"460,980","2,008","184,617,102","20,283,838","9,101,685 ",Europe,658,0.9,"7,078",2022-05-11
Belgium,"4,102,082",,"31,580 ",,"3,903,711",,"166,791",122,"351,111","2,703","33,779,532","2,891,304","11,683,149 ",Europe,,,"14,276",2022-05-11
Israel,"4,099,293","+1,448","10,749 ",,"4,052,605",,"35,939",150,"439,555","1,153","41,373,364","4,436,346","9,326,000 ",Asia,155,,"3,854",2022-05-11
Portugal,"3,935,932",,"22,420 ",,,,,61,"388,098","2,211","41,697,794","4,111,564","10,141,589 ",Europe,,,"102,285",2022-05-11
Czechia,"3,914,113",+755,"40,233 ",+1,"3,866,754",+570,"7,126",14,"364,245","3,744","55,288,462","5,145,114","10,745,818 ",Europe,70,0.09,663,2022-05-11
South Africa,"3,862,165","+10,017","100,609 ",+50,"3,691,684","+6,488","69,872",192,"63,632","1,658","24,765,642","408,033","60,695,163 ",Africa,165,0.8,"1,151",2022-05-11
Canada,"3,802,456","+3,096","39,906 ",+52,"3,492,607","+3,040","269,943",423,"99,137","1,040","61,306,765","1,598,372","38,355,755 ",North America,81,1,"7,038",2022-05-11
Philippines,"3,687,428",+109,"60,439 ",,"3,623,661",+418,"3,328",289,"32,840",538,"29,763,475","265,070","112,285,313 ",Asia,1.0,,30,2022-05-11
Switzerland,"3,631,881",,"13,882 ",,"3,530,433",,"87,566",78,"414,032","1,583","20,927,607","2,385,733","8,771,982 ",Europe,,,"9,982",2022-05-11
Chile,"3,586,522","+3,295","57,667 ",+25,"3,456,649","+2,268","72,206",173,"184,677","2,969","37,466,692","1,929,237","19,420,468 ",South America,170,1,"3,718",2022-05-11
Peru,"3,570,801",+462,"212,979 ", +11,,,,254,"105,572","6,297","30,134,364","890,931","33,823,445 ",South America,14,0.3,"48,403",2022-05-11
Greece,"3,375,812","+4,761","29,471 ",+27,"3,287,981","+7,436","58,360",185,"326,839","2,853","80,897,630","7,832,338","10,328,670 ",Europe,461,3 ,"5,650",2022-05-11
Denmark,"2,974,417",+766,"6,260 ",+8,"2,957,085","+1,091","11,072",6,"510,190","1,074","127,315,788","21,837,956","5,830,023 ",Europe,131,1,"1,899",2022-05-11
Romania,"2,901,080",+705,"65,589 ",+7,,,,144,"152,690","3,452","22,891,994","1,204,855","18,999,797 ",Europe,37,0.4,"12,044",2022-05-11
Sweden,"2,503,090",,"18,791 ",,"2,475,271",+546,"9,028",16,"245,016","1,839","18,534,055","1,814,212","10,216,034 ",Europe,,,884,2022-05-11
Iraq,"2,326,033",+162,"25,215 ",,"2,299,572",+121,"1,246",14,"55,520",602,"18,512,761","441,879","41,895,563 ",Asia,4,,30,2022-05-11
Serbia,"2,011,399",+438,"16,040 ",+3,"1,985,107",+624,"10,252",18,"231,938","1,850","9,570,938","1,103,644","8,672,125 ",Europe, 51,0.3,"1,182",2022-05-11
Bangladesh,"1,952,888",+33,"29,127 ",,"1,898,312",+249,"25,449","1,273","11,643",174,"14,033,932","83,669","167,731,723 ",Asia,0.2,,152,2022-05-11
Hungary,"1,909,948","+6,748","46,343 ",+77,"1,821,435","+13,374","42,170",29,"198,645","4,820","11,394,556","1,185,097","9,614,873 ",Europe,702,8,"4,386",2022-05-11
Slovakia,"1,785,978",+443,"20,002 ",+8,"1,757,977","+1,385","7,999",33,"326,830","3,660","7,120,136","1,302,970","5,464,545 ",Europe,81,1,"1,464",2022-05-11
Jordan,"1,694,216",,"14,048 ",,"1,678,941",,"1,227",124,"163,047","1,352","16,670,254","1,604,305","10,390,950 ",Asia,,,118,2022-05-11
Georgia,"1,655,221",,"16,811 ",,"1,637,293",,"1,117",,"416,411","4,229","16,920,079","4,256,656","3,974,970 ",Asia,,,281,2022-05-11
Pakistan,"1,528,897",+66,"30,376 ",+1,"1,494,141",,"4,380",98,"6,681",133,"28,278,968","123,573","228,843,575 ",Asia,0.3,,19,2022-05-11
Ireland,"1,524,555",,"7,163 ",,"1,485,903","+1,715","31,489",30,"302,488","1,421","12,132,098","2,407,135","5,040,057 ",Europe,,,"6,248",2022-05-11
Norway,"1,429,064",+365,"3,061 ",,,,,20,"259,837",557,"11,002,430","2,000,499","5,499,844 ",Europe,66,,"243,107",2022-05-11
Kazakhstan," 1,305,607",+4,"13,661 ",,"1,291,376",+5,570,24,"68,025",712,"11,575,012","603,080","19,193,146 ",Asia,0.2,,30,2022-05-11
Singapore,"1,228,914","+3,890","1,358 ",+2,"1,153,485",,"74,071",6,"207,039",229,"23,767,171","4,004,134","5,935,658 ",Asia,655,0.3,"12,479",2022-05-11
Hong Kong,"1,207,371",+280,"9,355 ",+3,,,,5,"158,661","1,229","44,972,952","5,909,903","7,609,762 ",Asia,37,0.4,"155,693",2022-05-11
Morocco,"1,165,455",+89,"16,071 ",,"1,148,928",+14,456,293,"30,896",426,"11,237,010","297,892","37,721,752 ",Africa,2,,12,2022-05-11
